"Statistic Label","Year","Geographic Location","Component","UNIT","VALUE"
"Exports of Services","2003","Finland","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2003","Finland","Repairs and processing","Euro Million",""
"Exports of Services","2003","France","Services total","Euro Million","2212"
"Exports of Services","2003","France","Transport","Euro Million",""
"Exports of Services","2003","France","Tourism and travel","Euro Million","171"
"Exports of Services","2003","France","Communications","Euro Million",""
"Exports of Services","2003","France","Insurance","Euro Million","461"
"Exports of Services","2003","France","Financial services","Euro Million","72"
"Exports of Services","2003","France","Computer services","Euro Million","1055"
"Exports of Services","2003","France","Royalties/licences","Euro Million",""
"Exports of Services","2003","France","All business services","Euro Million","307"
"Exports of Services","2003","France","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","France","Business services: Other Trade related services","Euro Million","103"
"Exports of Services","2003","France","Business services: Operational leasing","Euro Million","105"
"Exports of Services","2003","France","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2003","France","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2003","France","Business services: Research and development","Euro Million","0"
"Exports of Services","2003","France","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2003","France","Business services: Management services between affiliates","Euro Million","20"
"Exports of Services","2003","France","Business services: Other","Euro Million","52"
"Exports of Services","2003","France","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","France","Other services not elsewhere stated","Euro Million","40"
"Exports of Services","2003","France","Repairs and processing","Euro Million",""
"Exports of Services","2003","United Kingdom","Services total","Euro Million","9369"
"Exports of Services","2003","United Kingdom","Transport","Euro Million","1062"
"Exports of Services","2003","United Kingdom","Tourism and travel","Euro Million","1524"
"Exports of Services","2003","United Kingdom","Communications","Euro Million","268"
"Exports of Services","2003","United Kingdom","Insurance","Euro Million","2176"
"Exports of Services","2003","United Kingdom","Financial services","Euro Million","694"
"Exports of Services","2003","United Kingdom","Computer services","Euro Million","2114"
"Exports of Services","2003","United Kingdom","Royalties/licences","Euro Million","13"
"Exports of Services","2003","United Kingdom","All business services","Euro Million","1420"
"Exports of Services","2003","United Kingdom","Business services: Merchanting","Euro Million",""
"Exports of Services","2003","United Kingdom","Business services: Other Trade related services","Euro Million","373"
"Exports of Services","2003","United Kingdom","Business services: Operational leasing","Euro Million","220"
"Exports of Services","2003","United Kingdom","Business services: Legal, Accounting and other professional services","Euro Million","82"
"Exports of Services","2003","United Kingdom","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2003","United Kingdom","Business services: Research and development","Euro Million",""
"Exports of Services","2003","United Kingdom","Business services: Architectural engineering and other technical services","Euro Million","66"
"Exports of Services","2003","United Kingdom","Business services: Management services between affiliates","Euro Million","152"
"Exports of Services","2003","United Kingdom","Business services: Other","Euro Million","380"
"Exports of Services","2003","United Kingdom","Business services: Trade related services","Euro Million",""
"Exports of Services","2003","United Kingdom","Other services not elsewhere stated","Euro Million","96"
"Exports of Services","2003","United Kingdom","Repairs and processing","Euro Million",""
"Exports of Services","2003","Greece","Services total","Euro Million",""
"Exports of Services","2003","Greece","Transport","Euro Million",""
"Exports of Services","2003","Greece","Tourism and travel","Euro Million",""
